BL8 4EN,"32 Byron Road, Greenmount, Bury, Greater Manchester",3 
BL8 4EN,"11 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EN,"10 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EN,"30 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4ED,"24 Belvedere Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4EZ,"17 Hillstone Close, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"24 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EJ,"496 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EW,"1 Coleridge Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EU,"3 St Clair Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"32 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EY,"2 St Austell Drive, Greenmount, Bury, Greater Manchester",-1
BL8 4EN,"52 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"55 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4ES,"3 Swan Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EG,"2 Conway Crescent, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"3 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EJ,"520 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4ED,"6 Belvedere Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4EF,"3 Warwick Close, Greenmount, Bury, Greater Manchester",-1
BL8 4EZ,"10 Hillstone Close, Greenmount, Bury, Greater Manchester",-1
BL8 4EZ,"22 Hillstone Close, Greenmount, Bury, Greater Manchester",-1
BL8 4EA,"13 Nabbs Way, Greenmount, Bury, Greater Manchester",-1
BL8 4ED,"16 Belvedere Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4EN,"44 Byron Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EG,"1 Conway Crescent, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"39 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"57 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4ET,"6 Redwing Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"51 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4EP,"4 Keats Road, Greenmount, Bury, Greater Manchester",-1
BL8 4ED,"2 Belvedere Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4EW,"2 Coleridge Road, Greenmount, Bury, Greater Manchester",-1
